Bias,Average_Helicity,STD_Helicity
0.75,0.07269623930608365,0.0009319842818157274
0.7727272727272727,0.0992518536121673,0.0010409929366904805
0.7954545454545454,0.14021462096007606,0.001232931123502516
0.8181818181818181,0.18893075689163497,0.0013160524967568614
0.8409090909090909,0.2382681380703422,0.0012971040165843555
0.8636363636363636,0.28715478849809883,0.0012461384963993725
0.8863636363636364,0.33896257723384027,0.001564503014746974
0.9090909090909091,0.4048937737642586,0.002255448130098685
0.9318181818181819,0.4844593571768061,0.0018969605817159697
0.9545454545454546,0.5675994831273764,0.0019040622339869574
0.9772727272727273,0.6519479740969583,0.002422155607800627
1.0,0.7324323728612168,0.0054506587826864
