Chain,Average_Helicity,STD_Helicity
0,0.14092965779467678,0.1888062729417756
1,0.13983422053231936,0.18735810967880534
2,0.14141330798479088,0.18754162856942372
3,0.13925247148288972,0.18617499981127508
4,0.1394889733840304,0.187085629100838
5,0.14126539923954373,0.18847850998652804
6,0.14155285171102663,0.18833256560545536
7,0.14107186311787073,0.1869632632199898
8,0.13766045627376428,0.18240581432040665
9,0.13899657794676806,0.18545253527520347
10,0.138712927756654,0.18614226841700474
11,0.14068136882129278,0.18623069301729098
12,0.13858859315589356,0.1850670297412814
13,0.13919923954372623,0.18685492939230952
14,0.14366463878326996,0.19265061345257323
15,0.14327908745247148,0.19060768255796465
16,0.14197110266159696,0.19006599774695263
17,0.1385977186311787,0.18658440346011565
18,0.13986768060836502,0.18764962896855106
19,0.13921977186311787,0.18572907020124416
20,0.14010988593155893,0.18685936105749662
21,0.14070988593155892,0.18756309209019686
22,0.14043802281368822,0.18699576274424953
23,0.1401954372623574,0.18717763156597828
24,0.14037034220532318,0.18825498350968747
25,0.1405422053231939,0.1872007730631493
26,0.1405019011406844,0.18898013987281212
27,0.1399038022813688,0.18669333566707955
28,0.14095665399239546,0.18827224166201245
29,0.1385133079847909,0.18556571364735638
30,0.14042053231939164,0.186625273567964
31,0.13996653992395436,0.185956800919407
32,0.14222281368821293,0.1894609582174151
33,0.14163574144486696,0.1889888507789463
34,0.139693536121673,0.18700056687467612
35,0.13902851711026618,0.1853548350871821
36,0.1400528517110266,0.1874634491660616
37,0.1403212927756654,0.18709806156578623
38,0.1420558935361217,0.19022828499472494
39,0.14162661596958173,0.18840184334756724
40,0.13941140684410647,0.18548966668747527
41,0.1382638783269962,0.18598654543557025
42,0.14059353612167302,0.1871173993431009
43,0.13999391634980987,0.1864788856463019
44,0.1401197718631179,0.18662282143348885
45,0.13831064638783272,0.18485521052985887
46,0.14066007604562739,0.1879652707465885
47,0.14087110266159697,0.18772419641004073
48,0.1400231939163498,0.1876710682078364
49,0.13955893536121675,0.18776748723957987
50,0.14225475285171102,0.190432876227118
51,0.139325855513308,0.18629517671591528
52,0.1393152091254753,0.18531694850623753
53,0.13998859315589354,0.18701525126172108
54,0.1372068441064639,0.18267116883279624
55,0.13991863117870723,0.1870548960588073
56,0.1403634980988593,0.18606746323023382
57,0.14075019011406845,0.18936201591213078
58,0.13863041825095057,0.1853356748786234
59,0.14064486692015207,0.1881456590346305
60,0.14105209125475285,0.18846451548842888
61,0.14142471482889732,0.19024361197864947
62,0.13954866920152093,0.18603874261288111
63,0.1409912547528517,0.1877475449798322
