Chain,Average_Helicity,STD_Helicity
0,0.20526822429906544,0.2386481481521972
1,0.20390747663551403,0.23701268064224207
2,0.20471775700934577,0.23667031164398417
3,0.20301495327102803,0.23695942978743162
4,0.20249719626168222,0.23591344304418407
5,0.20769065420560748,0.23867335811789497
6,0.2029570093457944,0.23436511100120552
7,0.2036140186915888,0.23673625706881682
8,0.203096261682243,0.23661442823626877
9,0.20446915887850464,0.23739143919687883
10,0.2062364485981309,0.23911851845426227
11,0.2047859813084112,0.23744284209346092
12,0.20653551401869158,0.23724438413622154
13,0.20291401869158882,0.23641067643894048
14,0.20128785046728975,0.23328451711837886
15,0.20470373831775698,0.23758147404302146
16,0.20699065420560744,0.23995118644272828
17,0.20409065420560746,0.23718064866167313
18,0.20163271028037383,0.235613769481518
19,0.20715981308411216,0.2402439791264437
20,0.20477196261682237,0.23685714563467197
21,0.2061644859813084,0.23861941552968072
22,0.20515046728971964,0.23849071824013934
23,0.20587196261682245,0.23801009119987027
24,0.20585327102803738,0.23594729227581956
25,0.20229813084112147,0.23486275291494524
26,0.20294018691588783,0.23577413033355568
27,0.20561962616822427,0.23784892536451896
28,0.20367102803738318,0.23796414479361036
29,0.20528411214953274,0.2347627815036956
30,0.20596168224299066,0.23859937315131008
31,0.20520186915887853,0.23712138852010486
32,0.2077289719626168,0.24099762360070304
33,0.20210841121495327,0.23667025687652246
34,0.20448130841121495,0.23753724435204437
35,0.20390467289719627,0.23661853735739868
36,0.20431588785046728,0.23830844230284806
37,0.2074448598130841,0.2389214003761292
38,0.20174579439252333,0.23587879878437087
39,0.20395887850467292,0.23532120182560853
40,0.2021158878504673,0.23377657044229885
41,0.20286355140186915,0.23572088293744384
42,0.20419532710280378,0.2369207321925416
43,0.20696355140186914,0.23964014821001198
44,0.2055813084112149,0.23765393757130948
45,0.20425700934579435,0.2370727224332169
46,0.2052102803738318,0.23741644548325352
47,0.20515327102803738,0.23703879855840196
48,0.20638971962616823,0.23799655339316192
49,0.2083635514018692,0.24049241322967427
50,0.2061392523364486,0.24093560925078814
51,0.20731214953271032,0.2384278176826526
52,0.20596261682242992,0.23801928356786892
53,0.20520093457943925,0.23933789764987703
54,0.20376168224299068,0.23725142019009451
55,0.20003084112149538,0.2344711896341454
56,0.2046411214953271,0.23681540504374282
57,0.20556728971962615,0.2379440697557027
58,0.2043355140186916,0.2378557433122121
59,0.2027,0.2353409187484896
60,0.20174766355140183,0.23380639140700432
61,0.20522523364485984,0.2395564078475741
62,0.20369626168224297,0.2368463691992077
63,0.20529065420560746,0.23820132360434468
