Bias,Average_Helicity,STD_Helicity
0.75,0.0434814398364486,0.0004779664013494502
0.7727272727272727,0.050268530957943924,0.000500154085096095
0.7954545454545454,0.060514296144859814,0.0006084138546608776
0.8181818181818181,0.0764403183411215,0.0008911817249515376
0.8409090909090909,0.10197345210280373,0.001227289464296697
0.8636363636363636,0.14310021904205605,0.0014974004294336545
0.8863636363636364,0.20460550525700935,0.0017626735844350726
0.9090909090909091,0.2791447867990654,0.0022658114791649416
0.9318181818181819,0.3519940566588785,0.0017849194840698734
0.9545454545454546,0.43073203855140185,0.0024284362377983084
0.9772727272727273,0.544206030957944,0.004296420604090333
1.0,0.6760666033878504,0.0038866938172151372
