Bias,Average_Helicity,STD_Helicity
0.75,0.12005154194078947,0.0015637144528029292
0.7727272727272727,0.1648238075657895,0.001321386885715753
0.7954545454545454,0.2211383018092105,0.0016539916857192826
0.8181818181818181,0.27683626644736836,0.0015044113562720357
0.8409090909090909,0.32602274876644743,0.0011486485363549328
0.8636363636363636,0.37193158922697367,0.0012319461550925452
0.8863636363636364,0.4178220086348684,0.0011929660334554107
0.9090909090909091,0.4616140830592105,0.0012556353759126501
0.9318181818181819,0.5046440892269737,0.001221684024310246
0.9545454545454546,0.556889412006579,0.0014913098081660208
0.9772727272727273,0.625963712993421,0.001996816788590096
1.0,0.7335843852796053,0.010243354971948197
