Chain,Average_Helicity,STD_Helicity
0,0.32585723684210527,0.33670389568384973
1,0.3257822368421053,0.3346289579326658
2,0.3230532894736842,0.33052837164585974
3,0.32767960526315787,0.3355993939244762
4,0.3275789473684211,0.33644371129889794
5,0.32658881578947363,0.3350092352515984
6,0.3253611842105263,0.33589596722194515
7,0.3263440789473684,0.33577481640730916
8,0.3280223684210526,0.33609717681469986
9,0.324066447368421,0.3326609869363765
10,0.3249967105263158,0.3358914422488633
11,0.3243460526315789,0.3340606909643458
12,0.32663289473684215,0.33497207616855634
13,0.32642039473684215,0.3337542417114283
14,0.32691315789473685,0.33527429122016733
15,0.32681052631578944,0.3357447350682342
16,0.32594210526315787,0.3344811391359357
17,0.32526644736842103,0.3347529218346757
18,0.32713749999999997,0.33540400517265034
19,0.3252592105263158,0.3345880397780749
20,0.325,0.33399636048284936
21,0.32553750000000004,0.3344505599944364
22,0.32529605263157896,0.3357424116165584
23,0.32605065789473686,0.3351109335171341
24,0.32680328947368426,0.3364804880981337
25,0.32722105263157897,0.3359827973023359
26,0.3274026315789474,0.33430616895046666
27,0.32650986842105256,0.33441940649742197
28,0.32453157894736845,0.3332537111218033
29,0.32615131578947365,0.33544446967435726
30,0.32504013157894734,0.33434099384576244
31,0.3270486842105263,0.3358018929578244
32,0.32844407894736843,0.33576694880870805
33,0.3253361842105263,0.3344970544181027
34,0.32433618421052635,0.332381015622081
35,0.3262986842105264,0.33609234476374944
36,0.32567434210526314,0.333782605443926
37,0.32627500000000004,0.3347069067915202
38,0.32676644736842103,0.33620636499189455
39,0.32716447368421053,0.33479067505876253
40,0.3260118421052631,0.3340896056398742
41,0.3254256578947368,0.33342189578921244
42,0.3242473684210526,0.3341895093370968
43,0.3236282894736842,0.3328510492337698
44,0.32520065789473684,0.3338631863063369
45,0.32525131578947364,0.33485343160278863
46,0.32372697368421055,0.33412277111911287
47,0.32718486842105265,0.33589727728794766
48,0.3247203947368421,0.33381104159681335
49,0.3251217105263158,0.33502008382800985
50,0.32599210526315786,0.334319195988047
51,0.32674473684210525,0.3369109617636531
52,0.3259046052631579,0.33661651035649015
53,0.3262736842105263,0.33546229977545483
54,0.3274190789473684,0.3371924059778803
55,0.3275789473684211,0.3374389842762959
56,0.325103947368421,0.334663820690488
57,0.32730460526315786,0.3359976807835873
58,0.32666447368421053,0.33657204366968174
59,0.3275697368421053,0.33548469022239297
60,0.32578815789473686,0.3336014772887528
61,0.3267032894736842,0.33495360173929567
62,0.3272111842105263,0.33614153573452665
63,0.3257309210526316,0.3351341556266277
